name,kind,city,lat,lon
Olympic Plaza,park,Calgary,51.045930259981475,-114.05909299850464
Devonian Gardens,park,Calgary,51.046228733642494,-114.0687569975853
Enoch Park,park,Calgary,51.041754799683105,-114.05797451734543
Glenbow Museum,museum,Calgary,51.045129261837104,-114.06125754117966
National Music Centre,museum,Calgary,51.04457951614813,-114.05290514230728
The Confluence Historic Site & Parkland,museum,Calgary,51.044820663066474,-114.04442399740219
Calgary Tower,attraction,Calgary,51.044299581787385,-114.06313508749008
World's Tallest Mural,artwork,Calgary,51.04309888028041,-114.06339257955551
Conversation,artwork,Calgary,51.045680687308305,-114.06584411859512
Wonderland,artwork,Calgary,51.047650251296346,-114.06209170818329
Starbucks,cafe,Calgary,51.04483415376609,-114.06286150217056
Bono Coffee Roasters,cafe,Calgary,51.045687432533384,-114.06346768140793
Greeley Square Park,park,New York,40.74873626524578,-73.98829311132431
Herald Square,park,New York,40.75032729144334,-73.9876252412796
Pearson Park,park,New York,40.750827146221326,-73.99155467748642
June 4th Memorial Exhibit,museum,New York,40.74828922676883,-73.9886686205864
The Morgan Library & Museum,museum,New York,40.749268643511414,-73.9814642071724
Museum of Sex,museum,New York,40.74403814709342,-73.98735702037811
Empire State Building,attraction,New York,40.74844162658724,-73.98565918207169
NY Skyride,attraction,New York,40.748327834755855,-73.98565381765366
Horace Greely Statue,monument,New York,40.74857777012966,-73.98836016654968
James Gordon Bennett Monument,monument,New York,40.75040044115775,-73.98759841918945
Kawande Martin Cafe,cafe,New York,40.74858183411172,-73.98632436990738
Tea Makers,cafe,New York,40.74766336785231,-73.9864182472229
Embarcadero Plaza,park,San Francisco,37.794895914455935,-122.39494800567627
Sue Bierman Park,park,San Francisco,37.7960785900833,-122.39600211381912
Urban Park,park,San Francisco,37.79098108068854,-122.39532619714737
San Francisco Railway Museum,museum,San Francisco,37.79380224057523,-122.3936739563942
Exploratorium,museum,San Francisco,37.800898115388264,-122.39852607250214
Pier 24,museum,San Francisco,37.78950581068895,-122.38773822784424
San Francisco Ferry Building,attraction,San Francisco,37.795548719831444,-122.3934754729271
Location of former Embarcadero Freeway,memorial,San Francisco,37.795131179395696,-122.39418089389801
Mohandas K. Gandhi,memorial,San Francisco,37.79533041218228,-122.39239454269409
R-Evolution,artwork,San Francisco,37.79471999513754,-122.39449471235275
A16,cafe,San Francisco,37.79568224749309,-122.39352375268936
El Porteño,cafe,San Francisco,37.79559958754052,-122.39366859197617
Russell Square,park,London,51.52169845289029,-0.12607455253601074
Bloomsbury Square Gardens,park,London,51.518951328877534,-0.12286126613616943
Queen Square Gardens,park,London,51.52173850693575,-0.12241601943969727
British Museum,museum,London,51.51931183576383,-0.1267048716545105
SOAS Gallery,museum,London,51.52179525010649,-0.1287326216697693
Museum of Freemasonry,museum,London,51.51500893309526,-0.12126803398132324
Marble statue of a youth on horseback,artwork,London,51.5192817936323,-0.1263427734375
The Lion of Knidos,artwork,London,51.51911155451262,-0.12694895267486572
Quartzite head of the Egyptian pharaoh Amenhotep III,memorial,London,51.519231723369074,-0.12733787298202515
Memorial Pole (pts'aan) for Chief Luuya'as Eagle-Beaver Clan of the Nisga'a Nation,memorial,London,51.51982755593173,-0.12687385082244873
The British Museum Afternoon Tea,cafe,London,51.519375257976435,-0.12748539447784424
British Museum Cafe,cafe,London,51.51985425972961,-0.12696772813796997
Giardini del Quirinale,park,Rome,41.90122696382798,12.487732172012329
Villa Colonna,park,Rome,41.897996770388545,12.485640048980713
Giardini di Palazzo Barberini,park,Rome,41.90311549319745,12.49107152223587
Istituto Centrale per la Grafica,museum,Rome,41.90147251573174,12.483405768871307
Accademia di San Luca,museum,Rome,41.901616252993335,12.483679354190826
Museo del Corso,museum,Rome,41.8998394780123,12.481546998023987
Fontana di Trevi,attraction,Rome,41.90097741824292,12.483285069465637
Oceano,artwork,Rome,41.901043298372116,12.483282387256622
Chiesa di Santa Maria in Via,attraction,Rome,41.901644201867754,12.48159259557724
Miracle Water,attraction,Rome,41.901570336958855,12.481469213962555
L'antico forno di Piazza Trevi,cafe,Rome,41.90066798036307,12.483097314834595
Trevi Cafe,cafe,Rome,41.90079175569494,12.483816146850586
Ras Mekonen Park,park,Addis Ababa,9.040226613644919,38.756050765514374
Sheger Park - Phase 2,park,Addis Ababa,9.028306405465969,38.76081168651581
Ethio-Korean War Veterans Memorial Park,park,Addis Ababa,9.045577334370961,38.752526342868805
Adwa Victory Memorial Museum,museum,Addis Ababa,9.034375165168953,38.75245928764343
The Africa Unbound Museum,museum,Addis Ababa,9.0270375423149,38.75696539878845
National Museum of Ethiopia,museum,Addis Ababa,9.037977697884486,38.76186043024063
Statue of Menelik II,monument,Addis Ababa,9.035837373967325,38.752411007881165
የዓድዋ ድል መታሰቢያ,artwork,Addis Ababa,9.033315589868351,38.75109672546387
Degol Square,monument,Addis Ababa,9.032626864252435,38.754049837589264
Abune Petros,monument,Addis Ababa,9.035429439500817,38.74962419271469
Bless,cafe,Addis Ababa,9.035450630913047,38.75286430120468
Africa Coffee |,cafe,Addis Ababa,9.033440090127712,38.753896951675415
Shiba Water Supplying Station Park,park,Tokyo,35.66062403660797,139.74539905786514
Prince Shiba Park,park,Tokyo,35.65587094458948,139.74734097719193
飯倉公園,park,Tokyo,35.65576415477031,139.74386483430862
teamLab Borderless Museum,museum,Tokyo,35.66200131256063,139.74341690540314
Bridgestone Museum,museum,Tokyo,35.659203151078,139.7385647892952
NHK,museum,Tokyo,35.66372505326275,139.74825829267502
Tokyo Tower,attraction,Tokyo,35.6584491125989,139.7455358505249
三丁目の夕日,artwork,Tokyo,35.65849051952097,139.74561363458633
333m Memory,artwork,Tokyo,35.658211567210174,139.74578261375427
Jizo,memorial,Tokyo,35.659314294876026,139.74712371826172
The Workers & Co,cafe,Tokyo,35.65795004853388,139.74349468946457
Cafe Bar Blue Baobab,cafe,Tokyo,35.65869537450365,139.74301725625992
Domain Tarpeian Precinct,park,Sydney,-33.86015496760858,151.21374160051346
Hickson Road Reserve,park,Sydney,-33.855470814110674,151.21029496192932
Bushell Place,park,Sydney,-33.857767261932274,151.2090665102005
BridgeMuseum,museum,Sydney,-33.8545909753549,151.20946615934372
Justice & Police Museum,museum,Sydney,-33.86208379303344,151.21228247880936
The Rocks Discovery Museum,museum,Sydney,-33.85889875764591,151.2086507678032
Sydney Opera House,attraction,Sydney,-33.8571970536869,151.21512293815613
Ruth Park,memorial,Sydney,-33.85761802811086,151.21425658464432
Man O' War Steps,attraction,Sydney,-33.857800672453564,151.21593564748764
Ray Lawler,memorial,Sydney,-33.857744988244136,151.21422708034515
Coconut Cups,cafe,Sydney,-33.859952282499634,151.21294230222702
Caffè Gigi,cafe,Sydney,-33.861362159060945,151.21237367391586
